Date,Time,Block,Freq(Hz),Constituents,Actual (MWH),Schedule (MWH),SRAS (MWH),Deviation(MWH),Deviation (%),DSM Payable (Rs.),DSM Receivable (Rs.),Normal Rate (p/Kwh),Wt. Avg. Hybrid Rate (p/Kwh),HPDAM Ref. Rate (p/Kwh),HPDAM Normal Rate (p/Kwh),Unnamed: 16,Source_File,Processing_Date
2025-08-18,08:45,36,50.04,ACBIL,137.527271,139.5,0.0,-1.972729,-1.4141,2178.02,0.0,360.26,119.36,360.26,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,09:00,37,50.02,ACBIL,138.399999,139.45,0.0,-1.050001,-0.753,1245.51,0.0,348.57,118.62,348.57,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,09:15,38,50.0,ACBIL,139.563635,139.45,0.0,0.113635,0.0815,0.0,135.0,357.08,118.84,357.08,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,09:30,39,50.05,ACBIL,136.072726,139.45,0.0,-3.377274,-2.4219,3411.55,0.0,361.14,118.84,361.14,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,09:45,40,50.02,ACBIL,137.599999,139.45,0.0,-1.850001,-1.3266,2194.66,0.0,360.9,118.63,360.9,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,10:00,41,50.01,ACBIL,138.399999,139.475,0.0,-1.075001,-0.7707,1275.38,0.0,331.77,118.64,331.77,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,10:15,42,50.02,ACBIL,138.763635,139.475,0.0,-0.711365,-0.51,844.0,0.0,335.9,118.64,335.9,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,10:30,43,49.98,ACBIL,138.545454,139.475,0.0,-0.929546,-0.6665,1102.76,0.0,322.8,118.64,322.8,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,10:45,44,49.95,ACBIL,138.181817,133.725,0.0,4.456817,3.3328,0.0,5514.91,311.11,118.64,311.11,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,11:00,45,49.95,ACBIL,132.436363,131.2,0.0,1.236363,0.9424,0.0,1529.68,291.89,118.62,291.89,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,11:15,46,49.95,ACBIL,132.436362,133.7275,0.0,-1.291138,-0.9655,1748.29,0.0,288.35,118.47,288.35,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,11:30,47,49.94,ACBIL,129.163635,127.9775,0.0,1.186135,0.9268,0.0,1492.27,277.79,118.19,277.79,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,11:45,48,49.96,ACBIL,122.545454,122.2275,0.0,0.317954,0.2601,0.0,383.79,291.38,118.15,291.38,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,12:00,49,49.98,ACBIL,115.41818,116.4775,0.0,-1.05932,-0.9095,1250.61,0.0,301.61,118.06,301.61,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,12:15,50,49.95,ACBIL,118.399999,122.2275,0.0,-3.827501,-3.1315,5170.61,0.0,294.59,118.19,294.59,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,12:30,51,49.97,ACBIL,114.836363,116.4775,0.0,-1.641137,-1.409,1939.62,0.0,287.85,118.19,287.85,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,12:45,52,49.99,ACBIL,110.618181,110.7275,0.0,-0.109319,-0.0987,129.08,0.0,278.09,118.1,278.09,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,13:00,53,50.1,ACBIL,106.763635,104.975,0.0,1.788635,1.7039,214.1,0.0,271.88,119.7,271.88,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,13:15,54,50.07,ACBIL,102.327272,102.425,0.0,-0.097728,-0.0954,98.6,0.0,265.83,118.73,265.83,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,13:30,55,50.0,ACBIL,98.618181,99.975,0.0,-1.356819,-1.3572,1635.49,0.0,253.1,120.54,253.1,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,13:45,56,49.93,ACBIL,97.236363,97.2,0.0,0.036363,0.0374,0.0,47.65,245.65,120.54,245.65,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,14:00,57,50.0,ACBIL,97.527272,96.92,0.0,0.607272,0.6266,0.0,733.8,298.44,120.83,298.44,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,14:15,58,49.97,ACBIL,102.10909,102.67,0.0,-0.56091,-0.5463,680.88,0.0,304.42,121.39,304.42,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,14:30,59,50.03,ACBIL,107.636362,108.42,0.0,-0.783638,-0.7228,953.01,0.0,330.63,121.62,330.63,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,14:45,60,50.02,ACBIL,113.890908,114.17,0.0,-0.279092,-0.2445,345.14,0.0,339.26,123.66,339.26,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,15:00,61,50.06,ACBIL,121.163635,121.995,0.0,-0.831365,-0.6815,864.21,0.0,328.79,122.29,328.79,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,15:15,62,50.02,ACBIL,127.127272,127.745,0.0,-0.617728,-0.4836,763.42,0.0,324.85,123.59,324.85,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,15:30,63,50.01,ACBIL,132.799999,133.495,0.0,-0.695001,-0.5206,858.95,0.0,336.72,123.59,336.72,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,15:45,64,50.01,ACBIL,140.581816,141.3775,0.0,-0.795684,-0.5628,1014.99,0.0,341.95,127.56,341.95,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,16:00,65,49.96,ACBIL,145.454544,146.8775,0.0,-1.422956,-0.9688,2191.52,0.0,343.09,143.73,343.09,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,16:15,66,49.9,ACBIL,147.418181,149.3775,0.0,-1.959319,-1.3117,4243.84,0.0,340.22,144.4,340.22,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,16:30,67,49.9,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,1455.97,0.0,344.53,146.27,344.53,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,16:45,68,49.92,ACBIL,149.01818,149.9,0.0,-0.88182,-0.5883,1758.94,0.0,368.14,146.94,368.14,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,17:00,69,49.95,ACBIL,148.872726,149.9,0.0,-1.027274,-0.6853,1727.84,0.0,341.7,147.15,341.7,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,17:15,70,49.85,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,1480.56,0.0,349.91,148.74,349.91,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,17:30,71,49.88,ACBIL,149.090907,149.9,0.0,-0.809093,-0.5398,1805.3,0.0,384.64,148.75,384.64,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,17:45,72,49.86,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,1482.05,0.0,393.34,148.89,393.34,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,18:00,73,49.98,ACBIL,149.090908,149.9,0.0,-0.809092,-0.5398,1155.88,0.0,396.99,142.86,396.99,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,18:15,74,49.98,ACBIL,149.599998,149.9,0.0,-0.300002,-0.2001,438.33,0.0,382.82,146.11,382.82,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,18:30,75,50.04,ACBIL,149.163634,149.9,0.0,-0.736366,-0.4912,1025.16,0.0,488.55,150.5,488.55,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,18:45,76,50.03,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,1025.93,0.0,525.75,154.6,525.75,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,19:00,77,50.01,ACBIL,150.109089,149.925,0.0,0.184089,0.1228,0.0,397.64,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,19:15,78,49.99,ACBIL,149.81818,149.925,0.0,-0.10682,-0.0712,230.68,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,19:30,79,49.98,ACBIL,149.81818,149.925,0.0,-0.10682,-0.0712,230.68,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,19:45,80,50.02,ACBIL,148.872726,149.925,0.0,-1.052274,-0.7019,2272.86,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,20:00,81,50.04,ACBIL,148.872726,149.925,0.0,-1.052274,-0.7019,2102.4,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,20:15,82,50.02,ACBIL,148.509089,149.925,0.0,-1.415911,-0.9444,3058.2,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,20:30,83,50.03,ACBIL,148.145453,149.925,0.0,-1.779547,-1.187,3843.54,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,20:45,84,50.01,ACBIL,148.21818,149.925,0.0,-1.70682,-1.1384,3686.52,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,21:00,85,50.0,ACBIL,149.309089,149.9,0.0,-0.590911,-0.3942,1275.22,0.0,1000.0,215.81,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,21:15,86,49.95,ACBIL,149.81818,149.9,0.0,-0.08182,-0.0546,201.78,0.0,1000.0,215.81,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,21:30,87,49.97,ACBIL,149.890908,149.9,0.0,-0.009092,-0.0061,19.64,0.0,1000.0,215.81,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,21:45,88,49.97,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,1432.12,0.0,1000.0,215.81,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,22:00,89,49.99,ACBIL,149.81818,149.925,0.0,-0.10682,-0.0712,230.68,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,22:15,90,49.98,ACBIL,149.963635,149.925,0.0,0.038635,0.0258,0.0,83.37,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,22:30,91,50.0,ACBIL,148.872726,149.925,0.0,-1.052274,-0.7019,2272.86,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,22:45,92,50.01,ACBIL,149.745453,149.925,0.0,-0.179547,-0.1198,387.7,0.0,1000.0,215.99,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,23:00,93,50.0,ACBIL,149.454544,149.9,0.0,-0.445456,-0.2972,961.43,0.0,1000.0,215.81,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,23:15,94,49.98,ACBIL,149.745453,149.9,0.0,-0.154547,-0.1031,333.43,0.0,1000.0,215.81,1000.0,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,23:30,95,49.97,ACBIL,149.381817,149.9,0.0,-0.518183,-0.3457,943.59,0.0,709.4,182.09,709.4,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,23:45,96,49.99,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,1110.6,0.0,679.24,167.36,679.24,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,00:00,1,50.0,ACBIL,145.599998,149.9,0.0,-4.300002,-2.8686,6862.8,0.0,641.57,159.6,641.57,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,00:15,2,49.97,ACBIL,146.981817,149.9,0.0,-2.918183,-1.9468,4657.16,0.0,578.86,159.59,578.86,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,00:30,3,50.01,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,1038.53,0.0,649.31,156.5,649.31,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,00:45,4,50.02,ACBIL,149.599998,149.9,0.0,-0.300002,-0.2001,467.31,0.0,690.71,155.77,690.71,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,01:00,5,49.98,ACBIL,150.181816,149.9,0.0,0.281816,0.188,0.0,422.62,533.28,149.97,533.28,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,01:15,6,49.91,ACBIL,149.672726,149.9,0.0,-0.227274,-0.1516,483.94,0.0,417.5,148.99,417.5,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,01:30,7,49.91,ACBIL,149.745453,149.9,0.0,-0.154547,-0.1031,331.1,0.0,374.46,149.97,374.46,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,01:45,8,49.97,ACBIL,149.963635,149.9,0.0,0.063635,0.0425,0.0,95.37,393.07,149.96,393.07,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,02:00,9,49.99,ACBIL,150.109089,149.9,0.0,0.209089,0.1395,0.0,311.64,542.61,149.04,542.61,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,02:15,10,49.98,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,982.92,0.0,500.35,148.12,500.35,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,02:30,11,49.97,ACBIL,149.527272,149.9,0.0,-0.372728,-0.2487,548.76,0.0,461.03,147.24,461.03,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,02:45,12,49.98,ACBIL,149.599998,149.9,0.0,-0.300002,-0.2001,444.36,0.0,484.27,148.12,484.27,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,03:00,13,49.99,ACBIL,149.01818,149.9,0.0,-0.88182,-0.5883,1226.85,0.0,559.4,139.13,559.4,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,03:15,14,50.0,ACBIL,149.454544,149.9,0.0,-0.445456,-0.2972,616.71,0.0,524.08,138.43,524.08,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,03:30,15,49.99,ACBIL,149.236362,149.9,0.0,-0.663638,-0.4427,912.72,0.0,500.14,137.54,500.14,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,03:45,16,49.98,ACBIL,149.163634,149.9,0.0,-0.736366,-0.4912,1011.22,0.0,472.76,137.32,472.76,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,04:00,17,49.99,ACBIL,149.163634,149.925,0.0,-0.761366,-0.5078,1044.41,0.0,504.47,137.17,504.47,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,04:15,18,49.97,ACBIL,149.672726,149.925,0.0,-0.252274,-0.1683,346.56,0.0,470.2,137.36,470.2,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,04:30,19,49.96,ACBIL,149.30909,149.925,0.0,-0.61591,-0.4108,906.49,0.0,454.87,137.36,454.87,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,04:45,20,50.01,ACBIL,149.672726,149.925,0.0,-0.252274,-0.1683,346.58,0.0,518.98,137.37,518.98,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,05:00,21,50.04,ACBIL,149.381817,149.95,0.0,-0.568183,-0.3789,722.21,0.0,558.5,137.41,558.5,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,05:15,22,50.01,ACBIL,148.509089,149.95,0.0,-1.440911,-0.9609,2006.17,0.0,574.71,139.23,574.71,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,05:30,23,50.01,ACBIL,149.236362,149.95,0.0,-0.713638,-0.4759,993.55,0.0,591.46,139.23,591.46,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,05:45,24,50.01,ACBIL,149.30909,149.95,0.0,-0.64091,-0.4274,892.39,0.0,602.65,139.24,602.65,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,06:00,25,50.04,ACBIL,149.527271,150.025,0.0,-0.497729,-0.3318,640.7,0.0,402.34,139.17,402.34,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,06:15,26,50.0,ACBIL,149.381816,150.025,0.0,-0.643184,-0.4287,897.78,0.0,398.37,139.58,398.37,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,06:30,27,49.99,ACBIL,148.945453,150.025,0.0,-1.079547,-0.7196,1503.53,0.0,405.52,139.28,405.52,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,06:45,28,50.03,ACBIL,149.090907,150.025,0.0,-0.934093,-0.6226,1290.37,0.0,382.03,138.14,382.03,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,07:00,29,50.02,ACBIL,149.236362,150.025,0.0,-0.788638,-0.5257,1078.65,0.0,358.32,136.78,358.32,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,07:15,30,49.99,ACBIL,149.454544,150.025,0.0,-0.570456,-0.3802,768.41,0.0,369.74,134.69,369.74,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,07:30,31,50.04,ACBIL,145.163635,145.75,0.0,-0.586365,-0.4023,675.69,0.0,386.2,124.57,386.2,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,07:45,32,50.07,ACBIL,144.872725,145.75,0.0,-0.877275,-0.6019,917.81,0.0,363.58,123.08,363.58,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,08:00,33,50.06,ACBIL,139.272726,139.5,0.0,-0.227274,-0.1629,235.42,0.0,358.78,121.85,358.78,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,08:15,34,50.04,ACBIL,138.909089,139.5,0.0,-0.590911,-0.4236,671.37,0.0,378.46,122.83,378.46,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-19,08:30,35,50.03,ACBIL,138.90909,139.5,0.0,-0.59091,-0.4236,720.01,0.0,360.49,121.85,360.49,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
