----------Northern Regional Power Committee----------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,State,Regional_Group,Source_File,Master_Dataset_Created,Total_Records,Region
ANTA CRF,13-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA CRF,14-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA CRF,15-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA CRF,16-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA CRF,17-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA GF,11-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA GF,12-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA GF,13-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA GF,14-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA GF,15-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA GF,16-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA GF,17-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA LF,11-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA LF,12-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA LF,13-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA LF,14-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA LF,15-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA LF,16-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA LF,17-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA RF,11-08-2025,412,412,412,412,414,414,414,414,416,416,416,416,416,416,416,416,418,418,418,418,418,418,418,418,416,416,416,416,416,416,416,416,412,412,412,412,408,408,408,408,402,402,400,400,396,396,396,396,394,394,394,394,392,392,388,388,388,388,388,388,384,384,384,384,380,380,380,380,376,376,376,376,376,376,374,374,374,374,378,378,384,384,384,384,390,390,396,396,400,400,402,402,408,408,410,410,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA RF,12-08-2025,412,412,412,412,414,414,414,414,416,416,416,416,416,416,416,416,418,418,418,418,418,418,418,418,416,416,416,416,416,416,416,416,412,412,412,412,408,408,408,408,402,402,400,400,396,396,396,396,394,394,394,394,392,392,388,388,388,388,388,388,384,384,384,384,380,380,380,380,376,376,376,376,376,376,374,374,374,374,378,378,384,384,384,384,390,390,396,396,400,400,402,402,408,408,410,410,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA RF,13-08-2025,412,412,412,412,414,414,414,414,416,416,416,416,416,416,416,416,418,418,418,418,418,418,418,418,416,416,416,416,416,416,416,416,412,412,412,412,408,408,408,408,402,402,400,400,396,396,396,396,394,394,394,394,392,392,388,388,388,388,388,388,384,384,384,384,380,380,380,380,376,376,376,376,376,376,374,374,374,374,378,378,384,384,384,384,390,390,396,396,400,400,402,402,408,408,410,410,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA RF,14-08-2025,412,412,412,412,414,414,414,414,416,416,416,416,416,416,416,416,418,418,418,418,418,418,418,418,416,416,416,416,416,416,416,416,412,412,412,412,408,408,408,408,402,402,400,400,396,396,396,396,394,394,394,394,392,392,388,388,388,388,388,388,384,384,384,384,380,380,380,380,376,376,376,376,376,376,374,374,374,374,378,378,384,384,384,384,390,390,396,396,400,400,402,402,408,408,410,410,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA RF,15-08-2025,412,412,412,412,414,414,414,414,416,416,416,416,416,416,416,416,418,418,418,418,418,418,418,418,416,416,416,416,416,416,416,416,412,412,412,412,408,408,408,408,402,402,400,400,396,396,396,396,394,394,394,394,392,392,388,388,388,388,388,388,384,384,384,384,380,380,380,380,376,376,376,376,376,376,374,374,374,374,378,378,384,384,384,384,390,390,396,396,400,400,402,402,408,408,410,410,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA RF,16-08-2025,412,412,412,412,414,414,414,414,416,416,416,416,416,416,416,416,418,418,418,418,418,418,418,418,416,416,416,416,416,416,416,416,412,412,412,412,408,408,408,408,402,402,400,400,396,396,396,396,394,394,394,394,392,392,388,388,388,388,388,388,384,384,384,384,380,380,380,380,376,376,376,376,376,376,374,374,374,374,378,378,384,384,384,384,390,390,396,396,400,400,402,402,408,408,410,410,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA RF,17-08-2025,412,412,412,412,414,414,414,414,416,416,416,416,416,416,416,416,418,418,418,418,418,418,418,418,416,416,416,416,416,416,416,416,412,412,412,412,408,408,408,408,402,402,400,400,396,396,396,396,394,394,394,394,392,392,388,388,388,388,388,388,384,384,384,384,380,380,380,380,376,376,376,376,376,376,374,374,374,374,378,378,384,384,384,384,390,390,396,396,400,400,402,402,408,408,410,410,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
AURAIYA CRF,11-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uttar Pradesh,Northern Plains,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
AURAIYA CRF,12-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uttar Pradesh,Northern Plains,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
AURAIYA CRF,13-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uttar Pradesh,Northern Plains,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
AURAIYA CRF,14-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uttar Pradesh,Northern Plains,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
